"Date","Location","Average Occupancy(%)","Active IDs Assigned to Sites","Total Badge Swipes"
"Apr 21,2020","Dubai","2.94","34","1"
"Apr 21,2020","India-Bagmane Tridib, Bldg 3","3.11","483","15"
"Apr 21,2020","Hong Kong","13.89","72","10"
"Apr 21,2020","India-Electra, Bldg 4","3.08","1233","38"
"Apr 21,2020","India Elnath Bldg 5","5.27","1896","100"
"Apr 21,2020","Tokyo, Japan (Kyobashi)","11.43","35","4"
"Apr 21,2020","Milan","5.26","19","1"
"Apr 21,2020","India-Mumbai","4.17","24","1"
"Apr 21,2020","Tokyo, Japan (Shinjuku)","2.26","177","4"
"Apr 21,2020","Seoul, Korea","27.27","44","12"
"Apr 21,2020","Amsterdam","5.12","254","13"
"Apr 21,2020","Taipei","28","25","7"
"Apr 21,2020","Addlestone","2.47","81","2"
"Apr 21,2020","Stockholm","5.88","17","1"
"Apr 21,2020","Bridgewater","8.82","34","3"
"Apr 21,2020","Dallas","5.88","17","1"
"Apr 21,2020","Cupertino, CA (Mist)","3.6","111","4"
"Apr 21,2020","Durham, NC","8.33","48","4"
"Apr 21,2020","Herndon, Bldg 1","8.73","126","11"
"Apr 21,2020","Quincy, WA GEO DC Bldg A","87.5","32","28"
"Apr 21,2020","SVL Building 5","42.19","64","27"
"Apr 21,2020","SVL Building 8","66.67","45","30"
"Apr 21,2020","SVL Building A","5.63","1260","71"
"Apr 21,2020","SVL Building B","5.47","1335","73"
"Apr 21,2020","Westford NEIC R&D","6.19","452","28"
"Apr 22,2020","Westford NEIC R&D","5.97","452","27"
"Apr 22,2020","SVL Building B","4.72","1335","63"
"Apr 22,2020","SVL Building A","6.03","1260","76"
"Apr 22,2020","SVL Building 8","68.89","45","31"
"Apr 22,2020","SVL Building 5","40.63","64","26"
"Apr 22,2020","Quincy, WA GEO DC Bldg A","96.88","32","31"
"Apr 22,2020","Herndon, Bldg 1","8.73","126","11"
"Apr 22,2020","Durham, NC","12.5","48","6"
"Apr 22,2020","Cupertino, CA (Mist)","5.41","111","6"
"Apr 22,2020","Dallas","11.76","17","2"
"Apr 22,2020","Bridgewater","11.76","34","4"
"Apr 22,2020","Belfast","5.56","18","1"
"Apr 22,2020","Stockholm","11.76","17","2"
"Apr 22,2020","Addlestone","2.47","81","2"
"Apr 22,2020","Taipei","32","25","8"
"Apr 22,2020","Amsterdam","4.72","254","12"
"Apr 22,2020","Seoul, Korea","25","44","11"
"Apr 22,2020","Tokyo, Japan (Shinjuku)","2.26","177","4"
"Apr 22,2020","India-Mumbai","4.17","24","1"
"Apr 22,2020","Milan","5.26","19","1"
