"Date","Location","Average Occupancy(%)","Active IDs Assigned to Sites","Total Badge Swipes"
"Apr 29,2020","Beijing CSS","16.42","67","11"
"Apr 29,2020","Beijing R&D","82.55","149","123"
"Apr 29,2020","Munich","7.69","13","1"
"Apr 29,2020","Wuhan R&D","20","5","1"
"Apr 29,2020","Guangzhou, China","26.32","19","5"
"Apr 29,2020","Shanghai","30.95","42","13"
"Apr 29,2020","Paris, France","3.39","59","2"
"Apr 29,2020","America s Demo Pool- Sterling VA","75","4","3"
"Apr 29,2020","Madrid, Spain","7.5","40","3"
"Apr 29,2020","Dubai","2.94","34","1"
"Apr 29,2020","Sydney Sales","15.56","45","7"
"Apr 29,2020","Melbourne Sales","5.66","53","3"
"Apr 29,2020","India-Bagmane Tridib, Bldg 3","3.52","483","17"
"Apr 29,2020","Dublin","4.55","22","1"
"Apr 29,2020","Hong Kong","18.06","72","13"
"Apr 29,2020","India-Electra, Bldg 4","3.41","1233","42"
"Apr 29,2020","India Elnath Bldg 5","5.85","1896","111"
"Apr 29,2020","India-Mumbai","4.17","24","1"
"Apr 29,2020","Milan","10.53","19","2"
"Apr 29,2020","Seoul, Korea","25","44","11"
"Apr 29,2020","Kuala Lumpur, Malaysia","3.45","29","1"
"Apr 29,2020","Tokyo, Japan (Shinjuku)","0.56","177","1"
"Apr 29,2020","Riyadh","1.1","91","1"
"Apr 29,2020","Amsterdam","5.12","254","13"
"Apr 29,2020","Addlestone","2.47","81","2"
"Apr 29,2020","Taipei","36","25","9"
"Apr 29,2020","Stockholm","11.76","17","2"
"Apr 29,2020","Bridgewater","8.82","34","3"
"Apr 29,2020","Belfast","16.67","18","3"
"Apr 29,2020","Cupertino, CA (Mist)","4.5","111","5"
"Apr 29,2020","Dallas","5.88","17","1"
"Apr 29,2020","Durham, NC","8.33","48","4"
"Apr 29,2020","Herndon, Bldg 1","10.32","126","13"
"Apr 29,2020","Quincy, WA GEO DC Bldg A","90.63","32","29"
"Apr 29,2020","SVL Building 5","42.19","64","27"
"Apr 29,2020","SVL Building 8","88.89","45","40"
"Apr 29,2020","SVL Building A","6.59","1260","83"
"Apr 29,2020","SVL Building B","4.87","1335","65"
"Apr 29,2020","Westford NEIC R&D","5.97","452","27"
"Apr 30,2020","Westford NEIC R&D","5.53","452","25"
"Apr 30,2020","SVL Building B","6.82","1335","91"
"Apr 30,2020","SVL Building A","7.62","1260","96"
"Apr 30,2020","SVL Building 8","91.11","45","41"
"Apr 30,2020","SVL Building 5","46.88","64","30"
"Apr 30,2020","Quincy, WA GEO DC Bldg A","84.38","32","27"
"Apr 30,2020","Herndon, Bldg 1","10.32","126","13"
"Apr 30,2020","Durham, NC","10.42","48","5"
"Apr 30,2020","London, UK","5.56","18","1"
"Apr 30,2020","Cupertino, CA (Mist)","6.31","111","7"
"Apr 30,2020","Bridgewater","11.76","34","4"
"Apr 30,2020","Stockholm","5.88","17","1"
"Apr 30,2020","Taipei","56","25","14"
"Apr 30,2020","Addlestone","1.23","81","1"
"Apr 30,2020","Amsterdam","5.51","254","14"
"Apr 30,2020","Moscow","2.44","41","1"
"Apr 30,2020","Riyadh","2.2","91","2"
"Apr 30,2020","Tokyo, Japan (Shinjuku)","2.82","177","5"
"Apr 30,2020","Milan","15.79","19","3"
"Apr 30,2020","India-Mumbai","4.17","24","1"
"Apr 30,2020","Tokyo, Japan (Kyobashi)","8.57","35","3"
"Apr 30,2020","India Elnath Bldg 5","5.75","1896","109"
"Apr 30,2020","India-Electra, Bldg 4","3.08","1233","38"
"Apr 30,2020","Hong Kong","1.39","72","1"
"Apr 30,2020","India-Bagmane Tridib, Bldg 3","3.31","483","16"
"Apr 30,2020","Melbourne Sales","13.21","53","7"
"Apr 30,2020","Sydney Sales","8.89","45","4"
"Apr 30,2020","Dubai","2.94","34","1"
"Apr 30,2020","America s Demo Pool- Sterling VA","100","4","4"
"Apr 30,2020","Paris, France","5.08","59","3"
"Apr 30,2020","Shanghai","21.43","42","9"
"Apr 30,2020","Guangzhou, China","26.32","19","5"
"Apr 30,2020","Munich","30.77","13","4"
"Apr 30,2020","Beijing R&D","81.21","149","121"
"Apr 30,2020","Beijing CSS","1.49","67","1"
"Apr 30,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"Apr 30,2020","Beijing Sales","4.08","49","2"
"Apr 30,2020","Kanata (R&D)","1.96","51","1"
"Apr 30,2020","Brussels","50","2","1"
"Feb 29,2020","Kanata (R&D)","1.96","51","1"
"Feb 29,2020","Dallas","5.88","17","1"
"Feb 29,2020","Herndon, Bldg 1","1.59","126","2"
"Feb 29,2020","SVL Building 5","1.56","64","1"
"Feb 29,2020","SVL Building 8","13.33","45","6"
"Feb 29,2020","SVL Building A","1.03","1260","13"
"Feb 29,2020","SVL Building B","0.97","1335","13"
"Feb 29,2020","Westford NEIC R&D","0.66","452","3"
"Jul 01,2020","Dubai","24.24","33","8"
"Jul 01,2020","Melbourne Sales","7.41","54","4"
"Jul 01,2020","Sydney Sales","17.02","47","8"
"Jul 01,2020","Brussels","50","2","1"
"Jul 01,2020","Kanata (R&D)","5.88","51","3"
"Jul 01,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"Jul 01,2020","Beijing Sales","12.24","49","6"
"Jul 01,2020","Beijing R&D","21.33","150","32"
"Jul 01,2020","Beijing CSS","10.77","65","7"
"Jul 01,2020","Guangzhou, China","63.16","19","12"
"Jul 01,2020","Shanghai","36.59","41","15"
"Jul 01,2020","Wuhan R&D","50","4","2"
"Jul 01,2020","Munich","41.67","12","5"
"Jul 01,2020","Madrid, Spain","28.21","39","11"
"Jul 01,2020","Paris, France","16.67","54","9"
"Jul 01,2020","America s Demo Pool- Sterling VA","100","4","4"
"Jul 01,2020","Hong Kong","1.41","71","1"
"Jul 01,2020","Dublin","4.55","22","1"
"Jul 01,2020","India-Bagmane Tridib, Bldg 3","8.72","470","41"
"Jul 01,2020","India-Electra, Bldg 4","8.14","1216","99"
"Jul 01,2020","India Elnath Bldg 5","8.87","1872","166"
"Jul 01,2020","India-Mumbai","4.17","24","1"
"Jul 01,2020","Milan","15.79","19","3"
"Jul 01,2020","Tokyo, Japan (Kyobashi)","18.75","32","6"
"Jul 01,2020","Tokyo, Japan (Shinjuku)","8.52","176","15"
"Jul 01,2020","Seoul, Korea","33.33","45","15"
"Jul 01,2020","Amsterdam","8.4","250","21"
"Jul 01,2020","Riyadh","3.33","90","3"
"Jul 01,2020","Stockholm","6.67","15","1"
"Jul 01,2020","Singapore","7.14","70","5"
"Jul 01,2020","Taipei","45.83","24","11"
"Jul 01,2020","Addlestone","5.41","74","4"
"Jul 01,2020","London, UK","13.33","15","2"
"Jul 01,2020","Bridgewater","14.29","35","5"
"Jul 01,2020","Cupertino, CA (Mist)","2.68","112","3"
"Jul 01,2020","Dallas","6.25","16","1"
"Jul 01,2020","Durham, NC","8.33","48","4"
"Jul 01,2020","Herndon, Bldg 1","13.6","125","17"
"Jul 01,2020","Quincy, WA GEO DC Bldg A","87.5","32","28"
"Jul 01,2020","SVL Building 5","41.27","63","26"
"Jul 01,2020","SVL Building 8","118.6","43","51"
"Jul 01,2020","SVL Building A","8.35","1197","100"
"Jul 01,2020","SVL Building B","6.03","1277","77"
"Jul 01,2020","Westford NEIC R&D","9.42","446","42"
"Jul 02,2020","Dubai","33.33","33","11"
"Jul 02,2020","Melbourne Sales","11.11","54","6"
"Jul 02,2020","Sydney Sales","12.77","47","6"
"Jul 02,2020","Brussels","150","2","3"
"Jul 02,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"Jul 02,2020","Beijing Sales","12.24","49","6"
"Jul 02,2020","Beijing R&D","30.67","150","46"
"Jul 02,2020","Beijing CSS","21.21","66","14"
"Jul 02,2020","Guangzhou, China","52.63","19","10"
"Jul 02,2020","Shanghai","51.22","41","21"
"Jul 02,2020","Wuhan R&D","50","4","2"
"Jul 02,2020","Munich","41.67","12","5"
"Jul 02,2020","Madrid, Spain","10.26","39","4"
"Jul 02,2020","Paris, France","37.04","54","20"
"Jul 02,2020","America s Demo Pool- Sterling VA","75","4","3"
"Jul 02,2020","Hong Kong","49.3","71","35"
"Jul 02,2020","Dublin","4.55","22","1"
"Jul 02,2020","India-Bagmane Tridib, Bldg 3","7.49","467","35"
"Jul 02,2020","India-Electra, Bldg 4","9.76","1178","115"
"Jul 02,2020","India Elnath Bldg 5","10.56","1828","193"
"Jul 02,2020","India-Mumbai","4.17","24","1"
"Jul 02,2020","Milan","42.11","19","8"
"Jul 02,2020","Tokyo, Japan (Kyobashi)","12.5","32","4"
"Jul 02,2020","Tokyo, Japan (Shinjuku)","8.52","176","15"
"Jul 02,2020","Seoul, Korea","51.11","45","23"
"Jul 02,2020","Kuala Lumpur, Malaysia","6.67","30","2"
"Jul 02,2020","Amsterdam","6.85","248","17"
"Jul 02,2020","Moscow","5","40","2"
"Jul 02,2020","Riyadh","2.22","90","2"
"Jul 02,2020","Stockholm","6.67","15","1"
"Jul 02,2020","Singapore","14.29","70","10"
"Jul 02,2020","Taipei","41.67","24","10"
"Jul 02,2020","Addlestone","8.11","74","6"
"Jul 02,2020","Bridgewater","17.14","35","6"
"Jul 02,2020","Cupertino, CA (Mist)","5.36","112","6"
"Jul 02,2020","Durham, NC","10.42","48","5"
"Jul 02,2020","Herndon, Bldg 1","11.2","125","14"
"Jul 02,2020","Quincy, WA GEO DC Bldg A","81.25","32","26"
"Jul 02,2020","SVL Building 5","49.21","63","31"
"Jul 02,2020","SVL Building 8","104.65","43","45"
"Jul 02,2020","SVL Building A","7.35","1197","88"
"Jul 02,2020","SVL Building B","6.19","1276","79"
"Jul 02,2020","Westford NEIC R&D","7.62","446","34"
"Jul 03,2020","Dubai","3.03","33","1"
"Jul 03,2020","Melbourne Sales","5.56","54","3"
"Jul 03,2020","Sydney Sales","14.89","47","7"
"Jul 03,2020","Kanata (R&D)","2","50","1"
"Jul 03,2020","Kanata Optical (BTI Ottawa)","14.29","21","3"
"Jul 03,2020","Beijing Sales","12.5","48","6"
"Jul 03,2020","Beijing R&D","18.67","150","28"
"Jul 03,2020","Beijing CSS","10.45","67","7"
"Jul 03,2020","Guangzhou, China","68.42","19","13"
"Jul 03,2020","Shanghai","24.39","41","10"
"Jul 03,2020","Wuhan R&D","25","4","1"
"Jul 03,2020","Munich","25","12","3"
"Jul 03,2020","Madrid, Spain","7.69","39","3"
"Jul 03,2020","Paris, France","20.37","54","11"
"Jul 03,2020","Hong Kong","43.66","71","31"
"Jul 03,2020","Dublin","4.55","22","1"
"Jul 03,2020","India-Bagmane Tridib, Bldg 3","8.41","464","39"
"Jul 03,2020","India-Electra, Bldg 4","9.44","1176","111"
"Jul 03,2020","India Elnath Bldg 5","11.51","1824","210"
"Jul 03,2020","India-Mumbai","4.17","24","1"
"Jul 03,2020","Milan","15.79","19","3"
"Jul 03,2020","Tokyo, Japan (Kyobashi)","12.5","32","4"
"Jul 03,2020","Tokyo, Japan (Shinjuku)","9.66","176","17"
"Jul 03,2020","Seoul, Korea","24.44","45","11"
"Jul 03,2020","Amsterdam","7.29","247","18"
"Jul 03,2020","Moscow","10","40","4"
"Jul 03,2020","Singapore","10","70","7"
"Jul 03,2020","Taipei","87.5","24","21"
"Jul 03,2020","Addlestone","5.41","74","4"
"Jul 03,2020","Cupertino, CA (Mist)","0.89","112","1"
"Jul 03,2020","Durham, NC","4.17","48","2"
"Jul 03,2020","Herndon, Bldg 1","3.23","124","4"
"Jul 03,2020","Quincy, WA GEO DC Bldg A","12.5","32","4"
"Jul 03,2020","SVL Building 5","6.35","63","4"
"Jul 03,2020","SVL Building 8","11.63","43","5"
"Jul 03,2020","SVL Building A","1.34","1197","16"
"Jul 03,2020","SVL Building B","1.8","1277","23"
"Jul 03,2020","Westford NEIC R&D","1.35","446","6"
"Jul 04,2020","Dubai","9.09","33","3"
"Jul 04,2020","Sydney Sales","2.13","47","1"
"Jul 04,2020","Kanata (R&D)","2","50","1"
"Jul 04,2020","Beijing Sales","2.08","48","1"
"Jul 04,2020","Beijing R&D","3.36","149","5"
"Jul 04,2020","Beijing CSS","1.49","67","1"
"Jul 04,2020","Paris, France","1.85","54","1"
"Jul 04,2020","Hong Kong","1.41","71","1"
"Jul 04,2020","Dublin","4.55","22","1"
"Jul 04,2020","India-Bagmane Tridib, Bldg 3","8.39","465","39"
"Jul 04,2020","India-Electra, Bldg 4","5.78","1176","68"
"Jul 04,2020","India Elnath Bldg 5","8.11","1825","148"
"Jul 04,2020","India-Mumbai","4.17","24","1"
"Jul 04,2020","Milan","5.26","19","1"
"Jul 04,2020","Tokyo, Japan (Shinjuku)","0.57","176","1"
"Jul 04,2020","Seoul, Korea","2.22","45","1"
"Jul 04,2020","Amsterdam","1.22","246","3"
"Jul 04,2020","Moscow","2.5","40","1"
"Jul 04,2020","Riyadh","2.22","90","2"
"Jul 04,2020","Taipei","12.5","24","3"
"Jul 04,2020","Addlestone","1.35","74","1"
"Jul 04,2020","Dallas","6.25","16","1"
"Jul 04,2020","Durham, NC","2.08","48","1"
"Jul 04,2020","Herndon, Bldg 1","2.42","124","3"
"Jul 04,2020","Quincy, WA GEO DC Bldg A","6.25","32","2"
"Jul 04,2020","SVL Building 5","1.59","63","1"
"Jul 04,2020","SVL Building 8","4.65","43","2"
"Jul 04,2020","SVL Building A","0.42","1194","5"
"Jul 04,2020","SVL Building B","0.86","1275","11"
"Jul 04,2020","Westford NEIC R&D","0.9","446","4"
"Jul 05,2020","Dubai","27.27","33","9"
"Jul 05,2020","Kanata (R&D)","4","50","2"
"Jul 05,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"Jul 05,2020","Beijing Sales","2.08","48","1"
"Jul 05,2020","Beijing R&D","2.68","149","4"
"Jul 05,2020","Shanghai","2.44","41","1"
"Jul 05,2020","Paris, France","1.85","54","1"
"Jul 05,2020","Hong Kong","1.41","71","1"
"Jul 05,2020","India-Bagmane Tridib, Bldg 3","4.95","465","23"
"Jul 05,2020","India-Electra, Bldg 4","2.72","1176","32"
"Jul 05,2020","India Elnath Bldg 5","4.05","1825","74"
"Jul 05,2020","India-Mumbai","4.17","24","1"
"Jul 05,2020","Tokyo, Japan (Kyobashi)","3.13","32","1"
"Jul 05,2020","Tokyo, Japan (Shinjuku)","0.57","175","1"
"Jul 05,2020","Seoul, Korea","4.44","45","2"
"Jul 05,2020","Amsterdam","1.63","246","4"
"Jul 05,2020","Riyadh","3.3","91","3"
"Jul 05,2020","Singapore","2.86","70","2"
"Jul 05,2020","Durham, NC","4.17","48","2"
"Jul 05,2020","Herndon, Bldg 1","2.42","124","3"
"Jul 05,2020","Quincy, WA GEO DC Bldg A","9.38","32","3"
"Jul 05,2020","SVL Building 5","1.59","63","1"
"Jul 05,2020","SVL Building 8","6.98","43","3"
"Jul 05,2020","SVL Building A","0.5","1194","6"
"Jul 05,2020","SVL Building B","0.78","1275","10"
"Jul 05,2020","Westford NEIC R&D","0.9","446","4"
"Jul 06,2020","Dubai","27.27","33","9"
"Jul 06,2020","Melbourne Sales","5.66","53","3"
"Jul 06,2020","Sydney Sales","10.64","47","5"
"Jul 06,2020","Kanata (R&D)","4","50","2"
"Jul 06,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"Jul 06,2020","Beijing Sales","29.17","48","14"
"Jul 06,2020","Beijing R&D","35.57","149","53"
"Jul 06,2020","Beijing CSS","13.43","67","9"
"Jul 06,2020","Guangzhou, China","68.42","19","13"
"Jul 06,2020","Shanghai","65.85","41","27"
"Jul 06,2020","Wuhan R&D","25","4","1"
"Jul 06,2020","Munich","100","12","12"
"Jul 06,2020","Madrid, Spain","12.82","39","5"
"Jul 06,2020","Paris, France","29.63","54","16"
"Jul 06,2020","Hong Kong","52.11","71","37"
"Jul 06,2020","India-Bagmane Tridib, Bldg 3","8.82","465","41"
"Jul 06,2020","India-Electra, Bldg 4","9.01","1176","106"
"Jul 06,2020","India Elnath Bldg 5","10.97","1823","200"
"Jul 06,2020","India-Mumbai","4.17","24","1"
"Jul 06,2020","Milan","26.32","19","5"
"Jul 06,2020","Tokyo, Japan (Kyobashi)","15.63","32","5"
"Jul 06,2020","Tokyo, Japan (Shinjuku)","12","175","21"
"Jul 06,2020","Seoul, Korea","71.11","45","32"
"Jul 06,2020","Amsterdam","11.43","245","28"
"Jul 06,2020","Moscow","2.5","40","1"
"Jul 06,2020","Riyadh","2.22","90","2"
"Jul 06,2020","Stockholm","13.33","15","2"
"Jul 06,2020","Singapore","8.57","70","6"
"Jul 06,2020","Taipei","54.17","24","13"
"Jul 06,2020","Addlestone","5.41","74","4"
"Jul 06,2020","Belfast","5.56","18","1"
"Jul 06,2020","London, UK","20","15","3"
"Jul 06,2020","Bridgewater","5.71","35","2"
"Jul 06,2020","Cupertino, CA (Mist)","1.79","112","2"
"Jul 06,2020","Durham, NC","6.25","48","3"
"Jul 06,2020","Herndon, Bldg 1","5.65","124","7"
"Jul 06,2020","Quincy, WA GEO DC Bldg A","15.63","32","5"
"Jul 06,2020","SVL Building 5","9.52","63","6"
"Jul 06,2020","SVL Building 8","9.3","43","4"
"Jul 06,2020","SVL Building A","1.17","1194","14"
"Jul 06,2020","SVL Building B","1.33","1275","17"
"Jul 06,2020","Westford NEIC R&D","2.47","446","11"
"Jul 07,2020","Dubai","27.27","33","9"
"Jul 07,2020","Melbourne Sales","11.32","53","6"
"Jul 07,2020","Sydney Sales","10.64","47","5"
"Jul 07,2020","Brussels","50","2","1"
"Jul 07,2020","Kanata (R&D)","2","50","1"
"Jul 07,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"Jul 07,2020","Beijing Sales","20.83","48","10"
"Jul 07,2020","Beijing R&D","36.24","149","54"
"Jul 07,2020","Beijing CSS","11.94","67","8"
"Jul 07,2020","Guangzhou, China","57.89","19","11"
"Jul 07,2020","Shanghai","29.27","41","12"
"Jul 07,2020","Wuhan R&D","75","4","3"
"Jul 07,2020","Munich","66.67","12","8"
"Jul 07,2020","Madrid, Spain","7.69","39","3"
"Jul 07,2020","Paris, France","31.48","54","17"
"Jul 07,2020","America s Demo Pool- Sterling VA","100","4","4"
"Jul 07,2020","Hong Kong","39.44","71","28"
"Jul 07,2020","India-Bagmane Tridib, Bldg 3","7.53","465","35"
"Jul 07,2020","India-Electra, Bldg 4","8.44","1197","101"
"Jul 07,2020","India Elnath Bldg 5","10.23","1857","190"
"Jul 07,2020","India-Mumbai","4.17","24","1"
"Jul 07,2020","Milan","26.32","19","5"
"Jul 07,2020","Tokyo, Japan (Kyobashi)","12.5","32","4"
"Jul 07,2020","Tokyo, Japan (Shinjuku)","10.86","175","19"
"Jul 07,2020","Seoul, Korea","42.22","45","19"
"Jul 07,2020","Kuala Lumpur, Malaysia","3.33","30","1"
"Jul 07,2020","Amsterdam","7.76","245","19"
"Jul 07,2020","Moscow","2.5","40","1"
"Jul 07,2020","Riyadh","3.33","90","3"
"Jul 07,2020","Singapore","15.71","70","11"
"Jul 07,2020","Taipei","50","24","12"
"Jul 07,2020","Addlestone","5.41","74","4"
"Jul 07,2020","Belfast","5.56","18","1"
"Jul 07,2020","Bridgewater","11.43","35","4"
"Jul 07,2020","Cupertino, CA (Mist)","4.46","112","5"
"Jul 07,2020","Dallas","6.25","16","1"
"Jul 07,2020","Durham, NC","8.33","48","4"
"Jul 07,2020","Herndon, Bldg 1","12.8","125","16"
"Jul 07,2020","Quincy, WA GEO DC Bldg A","75","32","24"
"Jul 07,2020","SVL Building 5","41.27","63","26"
"Jul 07,2020","SVL Building 8","116.28","43","50"
"Jul 07,2020","SVL Building A","6.04","1193","72"
"Jul 07,2020","SVL Building B","6.59","1275","84"
"Jul 07,2020","Westford NEIC R&D","7.64","445","34"
"Jul 08,2020","Riyadh","3.33","90","3"
"Jul 08,2020","Singapore","20","70","14"
"Jul 08,2020","Taipei","66.67","24","16"
"Jul 08,2020","Addlestone","4.05","74","3"
"Jul 08,2020","Bridgewater","14.29","35","5"
"Jul 08,2020","Cupertino, CA (Mist)","7.14","112","8"
"Jul 08,2020","Durham, NC","8.33","48","4"
"Jul 08,2020","Herndon, Bldg 1","16","125","20"
"Jul 08,2020","Quincy, WA GEO DC Bldg A","80.65","31","25"
"Jul 08,2020","SVL Building 5","60.32","63","38"
"Jul 08,2020","SVL Building 8","111.63","43","48"
"Jul 08,2020","SVL Building A","7.29","1193","87"
"Jul 08,2020","SVL Building B","6.75","1275","86"
"Jul 08,2020","Westford NEIC R&D","8.99","445","40"
"Jul 08,2020","Dubai","27.27","33","9"
"Jul 08,2020","Melbourne Sales","7.55","53","4"
"Jul 08,2020","Sydney Sales","10.64","47","5"
"Jul 08,2020","Kanata (R&D)","2","50","1"
"Jul 08,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"Jul 08,2020","Beijing Sales","18.75","48","9"
"Jul 08,2020","Beijing R&D","27.52","149","41"
"Jul 08,2020","Beijing CSS","19.4","67","13"
"Jul 08,2020","Guangzhou, China","63.16","19","12"
"Jul 08,2020","Shanghai","36.59","41","15"
"Jul 08,2020","Wuhan R&D","25","4","1"
"Jul 08,2020","Munich","50","12","6"
"Jul 08,2020","Madrid, Spain","20.51","39","8"
"Jul 08,2020","Paris, France","25.93","54","14"
"Jul 08,2020","America s Demo Pool- Sterling VA","50","4","2"
"Jul 08,2020","Hong Kong","33.8","71","24"
"Jul 08,2020","India-Bagmane Tridib, Bldg 3","7.31","465","34"
"Jul 08,2020","India-Electra, Bldg 4","8.27","1197","99"
"Jul 08,2020","India Elnath Bldg 5","9.63","1858","179"
"Jul 08,2020","India-Mumbai","4.17","24","1"
"Jul 08,2020","Milan","26.32","19","5"
"Jul 08,2020","Tokyo, Japan (Kyobashi)","6.25","32","2"
"Jul 08,2020","Tokyo, Japan (Shinjuku)","10.86","175","19"
"Jul 08,2020","Seoul, Korea","37.78","45","17"
"Jul 08,2020","Kuala Lumpur, Malaysia","10","30","3"
"Jul 08,2020","Amsterdam","7.32","246","18"
"Jul 08,2020","Moscow","2.5","40","1"
"Jul 09,2020","Dubai","24.24","33","8"
"Jul 09,2020","Melbourne Sales","7.55","53","4"
"Jul 09,2020","Sydney Sales","21.28","47","10"
"Jul 09,2020","Kanata (R&D)","2","50","1"
"Jul 09,2020","Kanata Optical (BTI Ottawa)","14.29","21","3"
"Jul 09,2020","Beijing Sales","12.5","48","6"
"Jul 09,2020","Beijing R&D","29.53","149","44"
"Jul 09,2020","Beijing CSS","8.96","67","6"
"Jul 09,2020","Guangzhou, China","57.89","19","11"
"Jul 09,2020","Shanghai","43.9","41","18"
"Jul 09,2020","Wuhan R&D","25","4","1"
"Jul 09,2020","Munich","75","12","9"
"Jul 09,2020","Madrid, Spain","7.69","39","3"
"Jul 09,2020","Paris, France","27.78","54","15"
"Jul 09,2020","America s Demo Pool- Sterling VA","75","4","3"
"Jul 09,2020","Hong Kong","25.35","71","18"
"Jul 09,2020","Dublin","9.09","22","2"
"Jul 09,2020","India-Bagmane Tridib, Bldg 3","7.31","465","34"
"Jul 09,2020","India-Electra, Bldg 4","6.93","1198","83"
"Jul 09,2020","India Elnath Bldg 5","9.7","1856","180"
"Jul 09,2020","India-Mumbai","4.17","24","1"
"Jul 09,2020","Milan","31.58","19","6"
"Jul 09,2020","Tokyo, Japan (Kyobashi)","9.38","32","3"
"Jul 09,2020","Tokyo, Japan (Shinjuku)","7.43","175","13"
"Jul 09,2020","Seoul, Korea","51.11","45","23"
"Jul 09,2020","Kuala Lumpur, Malaysia","3.33","30","1"
"Jul 09,2020","Amsterdam","11.43","245","28"
"Jul 09,2020","Moscow","2.5","40","1"
"Jul 09,2020","Riyadh","3.33","90","3"
"Jul 09,2020","Stockholm","6.67","15","1"
"Jul 09,2020","Singapore","11.43","70","8"
"Jul 09,2020","Taipei","58.33","24","14"
"Jul 09,2020","Addlestone","8.11","74","6"
"Jul 09,2020","Bridgewater","11.43","35","4"
"Jul 09,2020","Cupertino, CA (Mist)","8.93","112","10"
"Jul 09,2020","Dallas","12.5","16","2"
"Jul 09,2020","Durham, NC","8.33","48","4"
"Jul 09,2020","Frederick, MD (R&D)","66.67","3","2"
"Jul 09,2020","Herndon, Bldg 1","15.2","125","19"
"Jul 09,2020","Quincy, WA GEO DC Bldg A","67.74","31","21"
"Jul 09,2020","SVL Building 5","47.62","63","30"
"Jul 09,2020","SVL Building 8","113.95","43","49"
"Jul 09,2020","SVL Building A","7.05","1192","84"
"Jul 09,2020","SVL Building B","6.27","1275","80"
"Jul 09,2020","Westford NEIC R&D","8.76","445","39"
"Jul 10,2020","Dubai","6.06","33","2"
"Jul 10,2020","Melbourne Sales","9.43","53","5"
"Jul 10,2020","Sydney Sales","8.51","47","4"
"Jul 10,2020","Kanata (R&D)","2","50","1"
"Jul 10,2020","Kanata Optical (BTI Ottawa)","14.29","21","3"
"Jul 10,2020","Beijing Sales","20.83","48","10"
"Jul 10,2020","Beijing R&D","34.9","149","52"
"Jul 10,2020","Beijing CSS","7.46","67","5"
"Jul 10,2020","Guangzhou, China","47.37","19","9"
"Jul 10,2020","Shanghai","26.83","41","11"
"Jul 10,2020","Wuhan R&D","50","4","2"
"Jul 10,2020","Munich","41.67","12","5"
"Jul 10,2020","Madrid, Spain","20.51","39","8"
"Jul 10,2020","Paris, France","20.75","53","11"
"Jul 10,2020","America s Demo Pool- Sterling VA","100","4","4"
"Jul 10,2020","Hong Kong","42.25","71","30"
"Jul 10,2020","India-Bagmane Tridib, Bldg 3","8.19","464","38"
"Jul 10,2020","India-Electra, Bldg 4","6.93","1198","83"
"Jul 10,2020","India Elnath Bldg 5","9.53","1857","177"
"Jul 10,2020","India-Mumbai","4.17","24","1"
"Jul 10,2020","Milan","21.05","19","4"
"Jul 10,2020","Tokyo, Japan (Kyobashi)","9.38","32","3"
"Jul 10,2020","Tokyo, Japan (Shinjuku)","12","175","21"
"Jul 10,2020","Seoul, Korea","31.11","45","14"
"Jul 10,2020","Kuala Lumpur, Malaysia","3.33","30","1"
"Jul 10,2020","Amsterdam","6.94","245","17"
"Jul 10,2020","Moscow","10","40","4"
"Jul 10,2020","Taipei","41.67","24","10"
"Jul 10,2020","Addlestone","1.35","74","1"
"Jul 10,2020","Belfast","5.56","18","1"
"Jul 10,2020","Bridgewater","11.43","35","4"
"Jul 10,2020","Cupertino, CA (Mist)","7.14","112","8"
"Jul 10,2020","Dallas","6.25","16","1"
"Jul 10,2020","Durham, NC","6.25","48","3"
"Jul 10,2020","Herndon, Bldg 1","10.4","125","13"
"Jul 10,2020","Quincy, WA GEO DC Bldg A","70.97","31","22"
"Jul 10,2020","SVL Building 5","55.56","63","35"
"Jul 10,2020","SVL Building 8","106.98","43","46"
"Jul 10,2020","SVL Building A","6.96","1192","83"
"Jul 10,2020","SVL Building B","6.67","1275","85"
"Jul 10,2020","Westford NEIC R&D","6.97","445","31"
"Jul 11,2020","Dubai","12.12","33","4"
"Jul 11,2020","Kanata (R&D)","2","50","1"
"Jul 11,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"Jul 11,2020","Beijing Sales","4.17","48","2"
"Jul 11,2020","Beijing R&D","2.68","149","4"
"Jul 11,2020","Beijing CSS","2.99","67","2"
"Jul 11,2020","Shanghai","4.88","41","2"
"Jul 11,2020","Wuhan R&D","25","4","1"
"Jul 11,2020","Paris, France","3.77","53","2"
"Jul 11,2020","Hong Kong","1.41","71","1"
"Jul 11,2020","India-Bagmane Tridib, Bldg 3","6.48","463","30"
"Jul 11,2020","India-Electra, Bldg 4","4.84","1198","58"
"Jul 11,2020","India Elnath Bldg 5","7.7","1856","143"
"Jul 11,2020","India-Mumbai","4.17","24","1"
"Jul 11,2020","Milan","5.26","19","1"
"Jul 11,2020","Tokyo, Japan (Shinjuku)","1.71","175","3"
